country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Ethiopia,148M,181M,197M,184M,119M,152M,175M,188M,296M,247M,273M,277M,261M,331M,542M,523M,546M,393M,429M,521M,522M,658M,548M,935M,1.06B,2.03B,1.46B,1.23B,1.79B,1.33B,1.62B,1.72B,1.73B,1.66B,1.6B,1.2B,1.12B,868M,1.01B,976M,1.1B,1.78B,2.05B,2.25B,2.33B,2.42B,2.41B,2.42B,2.97B,3.07B,3.8B,3.62B,3.42B,4.03B,3.68B,3.64B,4.66B,4.63B,5.32B,5.12B,5.65B,4.07B,4.99B
Fiji,13.1M,11.7M,122M,49M,36.8M,44M,39.3M,26.5M,60.8M,82.8M,60.8M,81.7M,58.4M,91.2M,79.5M,95.9M,121M,105M,99.6M,102M,99.1M,110M,96.9M,92.6M,90M,93.9M,102M,74.8M,100M,76.8M,88.4M,77.8M,107M,96.8M,62.2M,62.6M,63.8M,65.6M,58.7M,51.3M,45.5M,44.2M,53M,69.4M,83.9M,83.6M,72.4M,58.4M,50M,70.7M,74.8M,66M,94.5M,87.3M,93M,118M,135M,160M,131M,143M,207M,609M,384M
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710k,15.1M,94.9M,159M,105M,177M,127M,113M,157M,143M,198M,160M,159M,117M,140M,139M,141M,112M,147M,71.5M,144M,164M,161M,132M,92.3M,56.7M,108M,105M,98.3M,180M,131M,147M
Gabon,200k,6.01M,27M,37M,122M,104M,104M,111M,98.2M,135M,170M,159M,160M,209M,110M,223M,121M,91.4M,126M,94.1M,124M,108M,164M,179M,225M,179M,173M,153M,188M,239M,201M,219M,97.8M,150M,262M,191M,166M,58.8M,66.4M,73.4M,22.1M,14M,115M,−13M,48.8M,59.1M,35.4M,55.1M,61.6M,77.7M,103M,64.3M,69.6M,86.4M,110M,113M,47.1M,119M,124M,127M,56M,98.6M,146M
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360k,23.5M,172M,279M,292M,432M,358M,312M,366M,267M,462M,480M,315M,402M,364M,430M,350M,799M,708M,654M,569M,695M,668M,582M,512M,528M,499M,627M,540M,1.11B,769M,400M
Ghana,23.5M,23.3M,44.8M,138M,168M,335M,421M,337M,469M,495M,403M,369M,326M,208M,160M,497M,242M,322M,357M,480M,482M,385M,389M,300M,601M,535M,800M,786M,1B,1.25B,878M,1.33B,888M,923M,740M,816M,854M,703M,990M,854M,882M,1.04B,1.06B,1.33B,1.7B,1.38B,1.44B,979M,1.06B,1.43B,1.82B,1.86B,1.86B,1.35B,1.15B,2.01B,1.5B,1.41B,1.15B,992M,2.34B,1.24B,1.08B
Gibraltar,5.68M,10.1M,4.83M,−110k,4.36M,10.7M,17M,25.7M,9.1M,13.6M,23.7M,30.9M,30.8M,43.1M,41.2M,15.8M,16.4M,22.4M,14.4M,21M,27.2M,18.6M,8.31M,9.82M,34.1M,88.7M,53.2M,31.5M,30.3M,850k,890k,3.86M,4.58M,−20k,900k,300k,−360k,510k,300k,40k,,,,,,,,,,,,,,,,,,,,,,,
Guinea,1.41M,19.3M,73.7M,164M,97.5M,163M,94.1M,50.5M,37.6M,89.2M,74.1M,58.2M,26.7M,60.5M,87.5M,97.7M,39.8M,77.8M,189M,153M,223M,284M,308M,184M,341M,315M,379M,409M,442M,660M,456M,580M,640M,606M,514M,525M,404M,564M,520M,351M,237M,464M,392M,339M,341M,238M,206M,223M,325M,250M,233M,202M,650M,468M,569M,616M,643M,525M,698M,612M,769M,592M,526M
Gambia,6.52M,16.7M,28.4M,56.6M,27.1M,42M,31.4M,27M,50.3M,30.5M,10.9M,23.5M,30.7M,35.8M,50.5M,35.9M,46.9M,82.7M,113M,96.9M,134M,182M,125M,110M,145M,134M,235M,201M,155M,187M,159M,158M,162M,127M,97.5M,61M,50.2M,57.9M,58.4M,49.9M,76.4M,83.1M,96.1M,83M,76.2M,73M,86.8M,100M,90.7M,114M,125M,133M,142M,113M,100M,123M,104M,319M,251M,208M,320M,248M,285M
Guinea-Bissau,,10.3M,,,,,25M,5.49M,,870k,,1.33M,,50k,45.2M,79.2M,89.5M,134M,152M,137M,138M,165M,172M,176M,162M,160M,156M,214M,181M,221M,205M,177M,158M,145M,284M,155M,252M,186M,143M,83M,141M,108M,98.2M,198M,96.3M,80.9M,103M,115M,115M,135M,133M,117M,83.1M,107M,111M,109M,223M,126M,164M,123M,156M,169M,156M
